CeTD_HB1,CeTD_HB2,CeTD_HB3,CeTD_VW1,CeTD_VW2,CeTD_VW3,CeTD_PO1,CeTD_PO2,CeTD_PO3,CeTD_PZ1,CeTD_PZ2,CeTD_PZ3,CeTD_CH1,CeTD_CH2,CeTD_CH3,CeTD_SS1,CeTD_SS2,CeTD_SS3,CeTD_SA1,CeTD_SA2,CeTD_SA3,CeTD_11_HB,CeTD_11_VW,CeTD_11_PO,CeTD_11_PZ,CeTD_11_CH,CeTD_11_SS,CeTD_11_SA,CeTD_12_HB,CeTD_12_VW,CeTD_12_PO,CeTD_12_PZ,CeTD_12_CH,CeTD_12_SS,CeTD_12_SA,CeTD_1-3_HB,CeTD_1-3_VW,CeTD_1-3_PO,CeTD_1-3_PZ,CeTD_1-3_CH,CeTD_1-3_SS,CeTD_1-3_SA,CeTD_21_HB,CeTD_21_VW,CeTD_21_PO,CeTD_21_PZ,CeTD_21_CH,CeTD_21_SS,CeTD_21_SA,CeTD_22_HB,CeTD_22_VW,CeTD_22_PO,CeTD_22_PZ,CeTD_22_CH,CeTD_22_SS,CeTD_22_SA,CeTD_23_HB,CeTD_23_VW,CeTD_23_PO,CeTD_23_PZ,CeTD_23_CH,CeTD_23_SS,CeTD_23_SA,CeTD_31_HB,CeTD_31_VW,CeTD_31_PO,CeTD_31_PZ,CeTD_31_CH,CeTD_31_SS,CeTD_31_SA,CeTD_32_HB,CeTD_32_VW,CeTD_32_PO,CeTD_32_PZ,CeTD_32_CH,CeTD_32_SS,CeTD_32_SA,CeTD_33_HB,CeTD_33_VW,CeTD_33_PO,CeTD_33_PZ,CeTD_33_CH,CeTD_33_SS,CeTD_33_SA,CeTD_0_p_HB1,CeTD_25_p_HB1,CeTD_50_p_HB1,CeTD_75_p_HB1,CeTD_100_p_HB1,CeTD_0_p_VW1,CeTD_25_p_VW1,CeTD_50_p_VW1,CeTD_75_p_VW1,CeTD_100_p_VW1,CeTD_0_p_PO1,CeTD_25_p_PO1,CeTD_50_p_PO1,CeTD_75_p_PO1,CeTD_100_p_PO1,CeTD_0_p_PZ1,CeTD_25_p_PZ1,CeTD_50_p_PZ1,CeTD_75_p_PZ1,CeTD_100_p_PZ1,CeTD_0_p_CH1,CeTD_25_p_CH1,CeTD_50_p_CH1,CeTD_75_p_CH1,CeTD_100_p_CH1,CeTD_0_p_SS1,CeTD_25_p_SS1,CeTD_50_p_SS1,CeTD_75_p_SS1,CeTD_100_p_SS1,CeTD_0_p_SA1,CeTD_25_p_SA1,CeTD_50_p_SA1,CeTD_75_p_SA1,CeTD_100_p_SA1,CeTD_0_p_HB2,CeTD_25_p_HB2,CeTD_50_p_HB2,CeTD_75_p_HB2,CeTD_100_p_HB2,CeTD_0_p_VW2,CeTD_25_p_VW2,CeTD_50_p_VW2,CeTD_75_p_VW2,CeTD_100_p_VW2,CeTD_0_p_PO2,CeTD_25_p_PO2,CeTD_50_p_PO2,CeTD_75_p_PO2,CeTD_100_p_PO2,CeTD_0_p_PZ2,CeTD_25_p_PZ2,CeTD_50_p_PZ2,CeTD_75_p_PZ2,CeTD_100_p_PZ2,CeTD_0_p_CH2,CeTD_25_p_CH2,CeTD_50_p_CH2,CeTD_75_p_CH2,CeTD_100_p_CH2,CeTD_0_p_SS2,CeTD_25_p_SS2,CeTD_50_p_SS2,CeTD_75_p_SS2,CeTD_100_p_SS2,CeTD_0_p_SA2,CeTD_25_p_SA2,CeTD_50_p_SA2,CeTD_75_p_SA2,CeTD_100_p_SA2,CeTD_0_p_HB3,CeTD_25_p_HB3,CeTD_50_p_HB3,CeTD_75_p_HB3,CeTD_100_p_HB3,CeTD_0_p_VW3,CeTD_25_p_VW3,CeTD_50_p_VW3,CeTD_75_p_VW3,CeTD_100_p_VW3,CeTD_0_p_PO3,CeTD_25_p_PO3,CeTD_50_p_PO3,CeTD_75_p_PO3,CeTD_100_p_PO3,CeTD_0_p_PZ3,CeTD_25_p_PZ3,CeTD_50_p_PZ3,CeTD_75_p_PZ3,CeTD_100_p_PZ3,CeTD_0_p_CH3,CeTD_25_p_CH3,CeTD_50_p_CH3,CeTD_75_p_CH3,CeTD_100_p_CH3,CeTD_0_p_SS3,CeTD_25_p_SS3,CeTD_50_p_SS3,CeTD_75_p_SS3,CeTD_100_p_SS3,CeTD_0_p_SA3,CeTD_25_p_SA3,CeTD_50_p_SA3,CeTD_75_p_SA3,CeTD_100_p_SA3
31.25,50.0,18.75,37.5,25.0,37.5,31.25,31.25,37.5,31.25,31.25,37.5,12.5,68.75,18.75,50.0,25.0,25.0,31.25,31.25,37.5,3,2,0,2,4,2,0,1,1,2,1,3,2,2,0,2,1,2,2,1,1,2,2,1,0,2,4,1,1,3,3,2,0,1,2,2,0,2,0,1,8,1,1,0,2,2,1,4,2,2,0,4,0,0,4,0,1,0,3,2,1,2,2,0,1,2,3,5,0,2,4,6,8,0,0,1,2,3,0,1,3,4,6,0,1,2,3,4,0,1,3,4,6,0,1,2,3,5,0,1,2,3,5,0,1,3,4,6,0,1,2,3,5,0,1,2,3,5,0,1,3,4,6,0,0,1,1,2,0,2,5,8,11,0,0,1,2,3,0,2,4,6,8,0,1,2,3,4,0,1,2,3,4,0,1,2,3,5,0,1,2,3,5,0,1,3,4,6
43.75,50.0,6.25,25.0,25.0,50.0,12.5,25.0,62.5,25.0,25.0,50.0,18.75,75.0,6.25,75.0,12.5,12.5,6.25,43.75,50.0,4,2,1,1,6,0,1,0,0,2,0,1,0,1,3,2,2,4,0,0,2,0,2,1,2,2,6,2,0,1,0,1,3,2,2,4,1,2,0,2,8,1,0,1,0,10,1,1,1,0,0,0,1,1,0,1,0,1,4,2,0,1,6,0,1,3,5,7,0,2,4,6,8,0,0,0,0,1,0,1,2,3,4,0,1,2,3,4,0,2,4,6,8,0,0,1,1,2,0,1,2,3,4,0,2,5,7,10,0,1,2,3,4,0,1,2,3,4,0,2,4,6,8,0,0,1,2,3,0,3,6,9,12,0,0,0,0,1,0,3,6,9,12,0,0,1,1,2,0,0,1,1,2,0,0,0,0,1,0,1,3,5,7,0,2,4,6,8
62.5,25.0,12.5,31.25,43.75,25.0,18.75,18.75,62.5,31.25,43.75,25.0,12.5,68.75,18.75,56.25,12.5,31.25,25.0,62.5,12.5,6,2,2,1,2,0,2,0,0,2,0,2,0,5,2,3,1,0,0,0,3,1,1,0,2,2,6,2,0,2,0,5,2,3,1,0,0,1,1,1,7,2,1,2,0,6,1,2,1,0,1,1,1,2,1,2,0,3,6,1,0,1,1,0,2,5,7,10,0,1,2,3,4,0,0,1,1,2,0,1,2,3,5,0,1,3,5,7,0,1,2,3,4,0,0,1,2,3,0,0,1,2,3,0,2,5,7,10,0,1,2,3,5,0,1,3,5,7,0,1,2,3,4,0,0,1,1,2,0,2,5,8,11,0,0,1,2,3,0,2,4,6,9,0,0,1,1,2,0,1,2,3,5,0,1,2,3,4,0,2,5,7,10,0,0,1,1,2
50.0,18.75,31.25,20.0,13.33,66.67,31.25,12.5,56.25,18.75,18.75,62.5,31.25,62.5,6.25,43.75,31.25,25.0,31.25,50.0,18.75,4,0,4,1,1,0,2,2,1,1,0,2,1,0,1,1,1,7,1,1,3,0,1,1,4,0,4,1,0,2,1,1,1,1,1,7,4,1,0,1,7,1,0,1,0,6,0,0,1,1,3,0,4,0,2,2,1,3,4,1,0,1,1,0,2,4,6,8,0,0,1,2,3,0,1,2,3,5,0,0,1,2,3,0,0,1,1,2,0,2,5,7,10,0,1,2,3,5,0,0,1,1,2,0,2,4,6,9,0,0,1,2,3,0,0,1,2,3,0,2,5,7,10,0,1,2,3,5,0,2,5,7,10,0,0,0,0,1,0,1,3,5,7,0,1,2,3,5,0,1,2,3,4,0,1,2,3,5,0,2,4,6,8,0,0,1,2,3
18.75,31.25,50.0,31.25,50.0,18.75,50.0,31.25,18.75,31.25,50.0,18.75,12.5,87.5,0.0,25.0,56.25,18.75,62.5,18.75,18.75,1,2,0,1,0,4,1,3,3,0,3,2,3,4,1,2,0,0,3,3,1,4,0,1,0,2,1,0,3,2,3,4,1,2,0,0,0,2,0,2,11,0,0,0,0,0,2,2,3,4,1,1,2,0,7,1,1,0,1,2,2,1,0,0,0,1,2,3,0,1,2,3,5,0,2,4,6,8,0,1,2,3,5,0,2,4,6,8,0,0,1,2,3,0,2,4,6,8,0,1,2,3,5,0,0,1,2,3,0,1,2,3,5,0,2,4,6,8,0,0,1,2,3,0,0,1,1,2,0,3,7,10,14,0,0,0,0,0,0,1,2,3,4,0,2,4,6,9,0,0,1,2,3,0,2,5,7,10,0,0,1,2,3,0,0,1,2,3
37.5,56.25,6.25,43.75,25.0,31.25,6.25,37.5,56.25,43.75,25.0,31.25,12.5,75.0,12.5,50.0,6.25,43.75,18.75,37.5,43.75,3,3,0,2,6,1,0,0,0,5,1,1,0,0,3,2,2,1,0,0,0,1,3,2,0,3,6,5,1,1,0,0,3,2,2,1,0,1,1,1,9,1,1,1,0,5,0,3,0,0,0,3,1,3,0,1,1,1,3,2,2,1,4,0,1,3,4,6,0,2,4,6,9,0,0,0,0,1,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,0,0,0,1,0,1,3,4,6,0,2,4,6,9,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,0,1,1,2,0,3,6,9,12,0,0,1,1,2,0,2,4,6,8,0,0,0,0,1,0,1,3,5,7,0,0,1,2,3,0,1,3,4,6,0,1,3,5,7
6.25,43.75,50.0,31.25,37.5,31.25,62.5,25.0,12.5,25.0,43.75,31.25,0.0,93.75,6.25,25.0,50.0,25.0,50.0,6.25,43.75,0,0,0,0,4,3,1,2,5,2,0,2,2,2,2,1,4,0,7,2,1,1,2,1,1,0,0,1,1,1,2,2,3,1,4,0,0,0,0,0,14,1,0,0,0,0,3,1,2,4,2,2,0,1,3,1,4,0,0,0,5,0,2,0,0,0,0,1,0,1,3,5,7,0,2,4,6,8,0,1,2,3,5,0,1,3,4,6,0,1,2,3,5,0,2,5,7,10,0,1,2,3,4,0,0,1,1,2,0,1,2,3,4,0,1,3,5,7,0,1,2,3,5,0,0,0,0,0,0,3,7,11,15,0,0,0,0,1,0,1,2,3,4,0,2,4,6,8,0,1,2,3,4,0,2,4,6,8,0,0,0,0,1,0,1,3,5,7
18.75,12.5,68.75,18.75,31.25,50.0,68.75,12.5,18.75,18.75,31.25,50.0,6.25,81.25,12.5,56.25,25.0,18.75,25.0,18.75,56.25,0,1,2,0,1,1,3,0,7,1,0,2,1,0,4,1,5,1,7,0,3,1,1,0,2,1,0,1,0,2,1,0,4,1,5,1,0,1,0,1,9,2,0,2,0,2,4,2,4,0,0,2,0,1,0,1,3,1,0,2,3,2,3,0,0,1,2,3,0,0,1,1,2,0,2,5,8,11,0,0,1,2,3,0,1,2,3,5,0,2,4,6,8,0,2,5,8,11,0,0,1,1,2,0,0,1,2,3,0,0,1,2,3,0,1,2,3,5,0,2,4,6,8,0,0,0,0,1,0,3,6,9,13,0,0,1,1,2,0,2,4,6,9,0,1,2,3,4,0,0,1,2,3,0,1,2,3,4,0,0,1,2,3,0,2,4,6,9
18.75,37.5,43.75,25.0,25.0,50.0,56.25,25.0,18.75,25.0,25.0,50.0,6.25,93.75,0.0,43.75,25.0,31.25,43.75,18.75,37.5,1,1,1,1,1,4,1,3,2,0,1,3,2,0,2,2,3,2,3,3,2,4,0,0,1,1,1,0,1,3,2,0,2,2,3,2,0,1,0,1,13,0,0,0,0,2,1,3,1,1,2,4,1,0,2,1,4,2,1,0,3,1,1,0,0,1,2,3,0,1,3,4,6,0,1,3,5,7,0,1,2,3,4,0,1,2,3,4,0,2,4,6,8,0,2,4,6,9,0,1,2,3,4,0,0,1,2,3,0,1,2,3,4,0,1,2,3,4,0,2,4,6,8,0,0,0,0,1,0,3,7,11,15,0,0,0,0,0,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,1,3,5,7,0,0,1,2,3,0,1,3,4,6
68.75,18.75,12.5,25.0,75.0,0.0,12.5,18.75,68.75,18.75,81.25,0.0,0.0,50.0,50.0,75.0,6.25,18.75,25.0,68.75,6.25,8,2,1,1,0,1,1,1,0,1,2,0,3,9,0,0,0,0,0,1,1,1,0,1,1,2,8,1,1,0,2,11,0,0,0,0,0,0,0,0,3,4,0,5,3,7,1,3,1,0,0,3,0,0,1,2,0,2,8,1,1,0,0,0,2,5,8,11,0,0,1,2,3,0,0,1,1,2,0,1,2,3,4,0,3,6,9,12,0,0,0,0,0,0,0,1,1,2,0,0,1,2,3,0,2,5,8,11,0,0,1,2,3,0,3,6,9,13,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,0,2,4,6,8,0,3,6,9,12,0,0,0,0,1,0,0,1,2,3,0,1,2,3,4,0,2,5,8,11,0,0,0,0,1
75.0,12.5,12.5,26.67,46.67,26.67,18.75,6.25,75.0,25.0,50.0,25.0,12.5,56.25,31.25,37.5,18.75,43.75,18.75,75.0,6.25,8,1,2,1,1,0,2,0,0,1,3,0,1,1,4,1,3,0,0,1,2,0,0,1,3,0,8,1,3,0,1,2,4,1,3,0,0,1,1,2,3,3,0,5,0,1,3,2,2,0,1,3,0,3,0,3,0,2,8,1,1,0,0,0,3,6,9,12,0,0,1,1,2,0,0,1,1,2,0,1,2,3,4,0,1,3,5,7,0,1,2,3,4,0,0,1,2,3,0,0,0,0,1,0,3,6,9,12,0,1,2,3,4,0,2,4,6,8,0,1,2,3,4,0,0,1,1,2,0,2,4,6,9,0,1,2,3,5,0,1,3,4,6,0,0,1,2,3,0,1,3,5,7,0,0,1,2,3,0,3,6,9,12,0,0,0,0,1
31.25,43.75,25.0,31.25,56.25,12.5,31.25,31.25,37.5,31.25,56.25,12.5,0.0,81.25,18.75,50.0,37.5,12.5,37.5,31.25,31.25,2,2,1,1,4,1,1,1,2,3,2,0,1,6,2,1,0,0,2,1,1,1,3,1,2,1,3,3,2,0,1,6,2,1,0,0,0,0,0,0,10,2,0,2,1,5,2,1,1,3,1,1,1,0,2,2,2,1,2,2,3,0,1,0,1,2,3,5,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,2,4,6,9,0,0,1,1,2,0,1,2,3,5,0,1,2,3,5,0,1,3,4,6,0,1,2,3,5,0,2,4,6,9,0,0,1,1,2,0,0,0,0,0,0,3,6,9,13,0,0,1,2,3,0,2,4,6,8,0,1,3,4,6,0,0,1,1,2,0,1,3,4,6,0,1,2,3,5,0,1,2,3,5
31.25,31.25,37.5,25.0,37.5,37.5,37.5,25.0,37.5,25.0,37.5,37.5,6.25,81.25,12.5,81.25,18.75,0.0,56.25,31.25,12.5,0,2,3,4,0,1,1,2,2,0,2,2,1,0,4,2,4,0,2,1,2,1,0,3,3,2,1,0,2,2,1,0,4,2,4,0,0,1,0,1,9,2,0,2,0,9,3,0,3,0,0,0,0,0,3,3,2,5,0,0,0,2,0,0,1,2,3,5,0,1,2,3,5,0,1,3,4,6,0,1,2,3,4,0,1,3,4,6,0,1,3,4,6,0,1,3,4,6,0,1,2,3,4,0,1,3,4,6,0,1,2,3,4,0,1,3,4,6,0,1,3,4,6,0,0,0,0,1,0,3,6,9,13,0,0,1,1,2,0,3,6,9,13,0,0,1,2,3,0,0,0,0,0,0,2,4,6,9,0,1,2,3,5,0,0,1,1,2
43.75,31.25,25.0,26.67,66.67,6.67,25.0,25.0,50.0,18.75,75.0,6.25,0.0,75.0,25.0,43.75,25.0,31.25,31.25,43.75,25.0,3,3,1,2,1,1,1,1,2,1,3,0,3,6,1,0,0,0,2,1,1,1,1,2,1,2,4,1,2,0,2,9,1,0,0,0,0,0,0,0,7,4,0,4,0,3,1,2,1,2,1,3,1,1,2,2,1,1,3,3,2,1,0,0,1,3,5,7,0,1,2,3,5,0,1,2,3,4,0,1,2,3,4,0,2,5,7,10,0,0,0,0,1,0,1,2,3,4,0,1,2,3,4,0,2,4,6,8,0,0,1,2,3,0,3,6,9,12,0,0,0,0,1,0,0,0,0,0,0,3,6,9,12,0,1,2,3,4,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,1,2,3,5,0,1,3,5,7,0,1,2,3,4
12.5,75.0,12.5,43.75,25.0,31.25,12.5,43.75,43.75,43.75,25.0,31.25,0.0,100.0,0.0,81.25,6.25,12.5,43.75,12.5,43.75,0,1,0,2,8,2,0,2,0,1,2,4,3,0,0,3,2,0,0,2,0,2,1,4,0,4,2,1,2,4,3,0,0,3,2,0,0,0,0,0,15,0,0,0,0,9,1,2,1,0,0,2,0,0,4,0,3,0,0,1,3,2,2,0,0,1,1,2,0,3,6,9,12,0,0,1,1,2,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,0,1,1,2,0,1,3,5,7,0,1,3,5,7,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,0,0,0,0,0,4,8,12,16,0,0,0,0,0,0,3,6,9,13,0,0,0,0,1,0,0,1,1,2,0,1,3,5,7,0,0,1,1,2,0,1,3,5,7
31.25,50.0,18.75,43.75,25.0,31.25,31.25,31.25,37.5,43.75,25.0,31.25,12.5,75.0,12.5,18.75,37.5,43.75,18.75,31.25,50.0,1,4,0,1,4,3,2,0,0,4,2,1,1,0,2,2,1,2,1,1,2,3,1,1,1,3,2,4,2,1,1,0,2,2,1,2,0,2,0,2,7,2,0,2,0,1,1,1,1,2,2,1,3,3,0,2,0,0,1,4,3,1,4,0,1,2,3,5,0,2,4,6,8,0,0,1,2,3,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,1,2,3,5,0,1,2,3,5,0,1,3,4,6,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,0,1,1,2,0,3,6,9,12,0,0,1,1,2,0,0,1,2,3,0,1,3,4,6,0,1,3,5,7,0,0,1,2,3,0,1,2,3,5,0,2,4,6,8
56.25,25.0,18.75,26.67,33.33,40.0,25.0,6.25,68.75,25.0,37.5,37.5,18.75,56.25,25.0,50.0,25.0,25.0,25.0,56.25,18.75,5,3,1,2,0,1,1,1,1,1,0,2,1,3,1,1,2,3,3,0,1,0,0,0,1,1,9,1,0,2,1,4,1,1,2,3,0,2,1,1,5,2,2,2,0,4,1,2,0,3,1,4,0,0,1,1,1,2,5,2,1,2,0,0,2,4,6,9,0,1,2,3,4,0,0,1,2,3,0,1,2,3,4,0,1,2,3,5,0,1,3,4,6,0,1,2,3,4,0,0,0,0,1,0,2,5,8,11,0,1,2,3,4,0,1,3,4,6,0,1,3,4,6,0,0,1,2,3,0,2,4,6,9,0,1,2,3,4,0,2,4,6,8,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,2,4,6,9,0,0,1,2,3
31.25,31.25,37.5,25.0,25.0,50.0,37.5,25.0,37.5,25.0,25.0,50.0,25.0,68.75,6.25,62.5,31.25,6.25,56.25,31.25,12.5,3,0,2,1,2,2,1,3,1,1,1,2,1,0,2,2,2,4,1,3,1,2,1,1,2,0,4,1,1,2,1,0,2,2,2,4,1,2,1,2,8,0,1,0,0,6,4,0,3,0,1,0,1,0,5,1,2,2,3,0,1,1,0,0,1,2,3,5,0,1,2,3,5,0,1,3,4,6,0,1,2,3,4,0,1,2,3,4,0,2,4,6,8,0,1,3,4,6,0,1,2,3,4,0,1,3,4,6,0,1,2,3,4,0,1,2,3,4,0,2,4,6,8,0,1,2,3,4,0,2,5,8,11,0,0,0,0,1,0,2,5,7,10,0,1,2,3,5,0,0,0,0,1,0,2,4,6,9,0,1,2,3,5,0,0,1,1,2
25.0,56.25,18.75,31.25,18.75,50.0,43.75,25.0,31.25,31.25,18.75,50.0,12.5,75.0,12.5,37.5,50.0,12.5,18.75,25.0,56.25,1,3,0,2,3,3,1,2,0,0,2,3,1,0,2,4,1,2,2,3,2,3,0,1,1,1,2,0,2,3,1,0,2,4,1,2,0,2,0,1,8,2,1,1,0,3,1,1,3,4,1,0,2,0,0,1,2,0,1,3,3,2,3,0,1,2,3,4,0,2,4,6,9,0,0,1,2,3,0,1,2,3,5,0,0,1,2,3,0,2,4,6,8,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,1,2,3,5,0,0,1,2,3,0,2,4,6,8,0,0,1,1,2,0,3,6,9,12,0,0,1,1,2,0,1,3,4,6,0,2,4,6,8,0,0,1,1,2,0,0,1,2,3,0,1,2,3,4,0,2,4,6,9
31.25,43.75,25.0,56.25,37.5,6.25,25.0,43.75,31.25,37.5,56.25,6.25,0.0,75.0,25.0,56.25,6.25,37.5,50.0,31.25,18.75,3,1,0,1,4,2,1,1,2,5,3,1,2,3,0,1,0,0,2,1,1,2,4,1,0,1,3,3,3,0,2,5,1,1,0,0,0,0,0,0,10,2,0,1,2,5,0,3,1,0,0,3,1,2,7,1,0,0,3,1,1,1,1,0,1,2,3,5,0,1,3,5,7,0,1,2,3,4,0,2,4,6,9,0,1,3,4,6,0,0,0,0,1,0,1,2,3,4,0,1,3,5,7,0,1,2,3,5,0,1,3,4,6,0,2,4,6,9,0,0,0,0,1,0,0,0,0,0,0,3,6,9,12,0,1,2,3,4,0,2,4,6,9,0,0,0,0,1,0,1,3,4,6,0,2,4,6,8,0,1,2,3,5,0,0,1,2,3
50.0,43.75,6.25,12.5,37.5,50.0,6.25,12.5,81.25,12.5,37.5,50.0,18.75,68.75,12.5,81.25,6.25,12.5,18.75,50.0,31.25,4,3,0,3,3,1,1,0,0,0,0,2,0,3,2,2,3,3,0,0,1,0,0,2,1,2,9,0,0,2,0,3,2,2,3,3,0,3,0,2,7,1,1,0,1,11,1,1,0,0,1,1,0,0,0,2,1,1,4,2,2,2,1,0,2,4,6,8,0,1,3,5,7,0,0,0,0,1,0,0,1,1,2,0,1,3,4,6,0,2,4,6,8,0,0,0,0,1,0,0,1,1,2,0,3,6,9,13,0,0,1,1,2,0,1,3,4,6,0,2,4,6,8,0,0,1,2,3,0,2,5,8,11,0,0,1,1,2,0,3,6,9,13,0,0,0,0,1,0,0,1,1,2,0,0,1,2,3,0,2,4,6,8,0,1,2,3,5
43.75,50.0,6.25,68.75,18.75,12.5,12.5,43.75,43.75,68.75,18.75,12.5,6.25,62.5,31.25,12.5,12.5,75.0,6.25,43.75,50.0,3,3,0,2,5,1,1,0,0,8,1,1,1,2,0,1,0,1,0,1,1,1,4,2,1,2,3,8,1,1,1,2,0,1,0,1,0,1,0,1,7,2,0,2,2,0,1,1,0,0,2,2,1,8,0,1,0,0,3,3,1,2,5,0,1,3,5,7,0,2,4,6,8,0,0,0,0,1,0,2,5,8,11,0,0,1,2,3,0,0,1,1,2,0,0,1,1,2,0,1,3,5,7,0,1,3,5,7,0,2,5,8,11,0,0,1,2,3,0,0,1,1,2,0,0,0,0,1,0,2,5,7,10,0,1,2,3,5,0,0,1,1,2,0,0,1,1,2,0,3,6,9,12,0,0,0,0,1,0,1,3,5,7,0,2,4,6,8
43.75,56.25,0.0,43.75,18.75,37.5,0.0,43.75,56.25,43.75,18.75,37.5,25.0,56.25,18.75,75.0,6.25,18.75,37.5,43.75,18.75,4,3,0,3,5,0,0,0,0,5,1,0,1,0,2,1,2,3,0,0,0,0,5,1,0,2,7,5,1,0,1,0,2,1,2,3,3,1,0,0,5,3,1,2,0,8,1,3,1,0,0,2,0,0,5,0,0,1,4,2,0,3,0,0,1,3,5,7,0,2,4,6,9,0,0,0,0,0,0,1,3,5,7,0,0,1,2,3,0,1,3,4,6,0,0,0,0,0,0,1,3,5,7,0,2,4,6,9,0,1,3,5,7,0,0,1,2,3,0,1,3,4,6,0,1,2,3,4,0,2,4,6,9,0,0,1,2,3,0,3,6,9,12,0,0,0,0,1,0,0,1,2,3,0,1,3,4,6,0,1,3,5,7,0,0,1,2,3
31.25,43.75,25.0,50.0,37.5,12.5,25.0,43.75,31.25,37.5,50.0,12.5,12.5,75.0,12.5,18.75,37.5,43.75,25.0,31.25,43.75,1,3,1,4,1,1,0,2,2,2,3,2,3,3,0,2,0,0,2,2,0,1,1,4,1,3,1,2,2,2,1,6,0,2,0,0,0,2,0,1,8,2,1,1,0,0,1,2,1,2,3,2,3,1,2,0,2,1,1,3,1,4,1,0,1,2,3,5,0,1,3,5,7,0,1,2,3,4,0,2,4,6,8,0,1,3,4,6,0,0,1,1,2,0,1,2,3,4,0,1,3,5,7,0,1,2,3,5,0,1,3,4,6,0,2,4,6,8,0,0,1,1,2,0,0,1,1,2,0,3,6,9,12,0,0,1,1,2,0,0,1,2,3,0,1,3,4,6,0,1,3,5,7,0,1,2,3,4,0,1,2,3,5,0,1,3,5,7
50.0,50.0,0.0,50.0,18.75,31.25,6.25,37.5,56.25,50.0,18.75,31.25,18.75,56.25,25.0,37.5,6.25,56.25,6.25,50.0,43.75,6,2,0,2,5,0,0,0,0,2,2,3,1,1,1,4,0,1,0,1,0,1,1,3,0,3,6,2,2,3,1,1,1,4,0,1,1,0,2,1,5,2,1,3,0,2,0,4,0,0,1,4,1,3,0,0,0,0,6,2,1,2,4,0,2,4,6,8,0,2,4,6,8,0,0,0,0,0,0,2,4,6,8,0,0,1,2,3,0,1,2,3,5,0,0,0,0,1,0,1,3,4,6,0,2,4,6,9,0,2,4,6,8,0,0,1,2,3,0,1,2,3,5,0,0,1,2,3,0,2,4,6,9,0,1,2,3,4,0,1,3,4,6,0,0,0,0,1,0,2,4,6,9,0,0,0,0,1,0,2,4,6,8,0,1,3,5,7
25.0,37.5,37.5,13.33,46.67,40.0,62.5,12.5,25.0,12.5,50.0,37.5,0.0,93.75,6.25,25.0,62.5,12.5,31.25,25.0,43.75,1,3,0,3,1,2,0,1,4,0,1,1,2,1,4,0,5,0,5,1,3,2,0,0,2,1,1,0,1,1,2,2,4,0,5,0,0,0,0,0,13,1,0,1,0,0,2,1,4,6,0,0,1,1,3,0,2,0,1,3,2,3,1,0,1,2,3,4,0,1,3,4,6,0,1,3,4,6,0,0,1,1,2,0,1,3,5,7,0,1,3,4,6,0,2,5,7,10,0,0,1,1,2,0,1,2,3,4,0,0,1,1,2,0,2,4,6,8,0,1,3,4,6,0,0,0,0,0,0,3,7,11,15,0,0,0,0,1,0,1,2,3,4,0,2,5,7,10,0,0,1,1,2,0,1,2,3,5,0,1,2,3,4,0,1,3,5,7
62.5,31.25,6.25,31.25,62.5,6.25,6.25,31.25,62.5,31.25,62.5,6.25,6.25,81.25,12.5,50.0,6.25,43.75,6.25,62.5,31.25,3,5,1,5,0,0,1,0,0,0,4,1,5,4,0,0,1,0,0,0,1,0,0,5,1,5,3,0,4,1,5,4,0,0,1,0,0,0,1,1,10,1,0,2,0,2,1,4,1,0,0,5,0,2,0,1,0,1,3,5,0,5,0,0,2,5,7,10,0,1,2,3,5,0,0,0,0,1,0,1,2,3,5,0,2,5,7,10,0,0,0,0,1,0,0,0,0,1,0,1,2,3,5,0,2,5,7,10,0,1,2,3,5,0,2,5,7,10,0,0,0,0,1,0,0,0,0,1,0,3,6,9,13,0,0,1,1,2,0,2,4,6,8,0,0,0,0,1,0,1,3,5,7,0,0,0,0,1,0,2,5,7,10,0,1,2,3,5
37.5,12.5,50.0,13.33,73.33,13.33,50.0,12.5,37.5,12.5,75.0,12.5,12.5,75.0,12.5,43.75,43.75,12.5,62.5,37.5,0.0,3,0,3,1,0,1,1,2,4,0,1,1,2,7,1,0,2,0,4,2,1,1,0,1,3,0,3,0,1,1,2,8,1,0,2,0,0,1,1,1,10,0,1,1,0,4,3,0,1,3,2,1,1,0,7,2,0,3,3,0,0,0,0,0,1,3,4,6,0,0,1,1,2,0,2,4,6,8,0,0,1,1,2,0,2,5,8,11,0,0,1,1,2,0,2,4,6,8,0,0,1,1,2,0,1,3,4,6,0,0,1,1,2,0,3,6,9,12,0,0,1,1,2,0,0,1,1,2,0,3,6,9,12,0,0,1,1,2,0,1,3,5,7,0,1,3,5,7,0,0,1,1,2,0,2,5,7,10,0,1,3,4,6,0,0,0,0,0
