PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,CeTD_HB1,CeTD_HB2,CeTD_HB3,CeTD_VW1,CeTD_VW2,CeTD_VW3,CeTD_PZ1,CeTD_PZ2,CeTD_11_HB,CeTD_11_VW,CeTD_11_PO,CeTD_11_PZ,CeTD_11_CH,CeTD_11_SS,CeTD_11_SA,CeTD_12_HB,CeTD_12_VW,CeTD_12_PZ,CeTD_12_CH,CeTD_12_SS,CeTD_12_SA,CeTD_1-3_HB,CeTD_1-3_VW,CeTD_1-3_PO,CeTD_1-3_PZ,CeTD_22_PZ,CeTD_22_CH,CeTD_22_SA,CeTD_23_VW,CeTD_23_PO,CeTD_23_PZ,CeTD_23_SS,CeTD_23_SA,CeTD_31_HB,CeTD_31_PO,CeTD_31_PZ,CeTD_31_CH,CeTD_31_SS,CeTD_31_SA,CeTD_32_HB,CeTD_32_VW,CeTD_32_PO,CeTD_32_PZ,CeTD_32_CH,CeTD_32_SS,CeTD_32_SA,CeTD_33_HB,CeTD_33_VW,CeTD_33_PZ,CeTD_33_CH,CeTD_33_SS,CeTD_33_SA,CeTD_0_p_HB1,CeTD_25_p_HB1,CeTD_0_p_VW1,CeTD_0_p_PO1,CeTD_25_p_PO1,CeTD_0_p_PZ1,CeTD_0_p_CH1,CeTD_25_p_CH1,CeTD_0_p_SS1,CeTD_25_p_SS1,CeTD_0_p_SA1,CeTD_0_p_HB2,CeTD_0_p_VW2,CeTD_0_p_PO2,CeTD_0_p_PZ2,CeTD_0_p_CH2,CeTD_0_p_SS2,CeTD_25_p_SS2,CeTD_0_p_SA2,CeTD_0_p_HB3,CeTD_25_p_HB3,CeTD_0_p_VW3,CeTD_25_p_VW3,CeTD_0_p_PO3,CeTD_25_p_PO3,CeTD_0_p_PZ3,CeTD_0_p_CH3,CeTD_0_p_SS3,CeTD_0_p_SA3,CeTD_25_p_SA3,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
0.077,0.0,0.923,0.0,0.923,0.769,0.077,0.154,0.769,0.154,0.154,0.0,0.0,0.538,0.231,0.231,0.846,0.154,0.077,0.231,0.308,-2.212,-1.048,-0.49,-0.227,0.467,7.69,30.77,61.54,30.77,46.15,23.08,23.08,53.85,0,0,1,1,1,2,0,3,4,2,1,3,2,1,0,2,0,4,1,2,0,1,0,10,0,0,0,2,2,3,2,0,0,3,0,0,8,1,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.875,0.125,0.708,0.583,0.083,0.125,0.75,0.25,0.083,0.042,0.083,0.417,0.375,0.208,0.708,0.25,0.125,0.292,0.458,-1.275,-0.742,-0.061,-0.091,0.186,16.67,29.17,54.17,31.82,40.91,27.27,20.83,54.17,1,0,3,3,2,2,0,5,7,3,2,5,2,2,0,4,1,6,3,5,1,2,0,18,0,0,0,2,4,4,5,2,1,3,2,0,12,1,3,3,0,1,2,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.67,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.125,0.0,0.875,0.167,0.708,0.583,0.083,0.125,0.792,0.208,0.125,0.083,0.083,0.375,0.458,0.167,0.708,0.208,0.167,0.292,0.458,-1.355,-0.918,-0.16,-0.109,0.212,12.5,33.33,54.17,36.36,36.36,27.27,25.0,50.0,1,0,2,2,3,3,0,5,7,3,2,5,2,1,0,3,2,5,3,5,1,2,0,18,0,0,0,2,3,4,5,5,0,2,2,0,12,0,4,2,0,2,2,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.167,0.0,0.833,0.167,0.625,0.5,0.083,0.125,0.75,0.292,0.083,0.083,0.083,0.417,0.417,0.167,0.625,0.292,0.167,0.25,0.458,-1.055,-0.572,-0.165,-0.025,0.163,20.83,29.17,50.0,31.82,36.36,31.82,20.83,50.0,1,0,4,3,2,2,1,5,5,3,2,5,1,2,0,4,2,4,4,6,1,3,0,16,0,0,0,3,4,3,4,4,1,3,1,0,8,2,4,4,0,2,2,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,1.67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.125,0.0,0.875,0.208,0.625,0.583,0.083,0.042,0.792,0.25,0.125,0.125,0.083,0.417,0.417,0.167,0.625,0.25,0.208,0.292,0.542,-0.92,-1.031,-0.242,-0.234,0.25,16.67,37.5,45.83,40.91,40.91,18.18,29.17,54.17,0,1,3,3,3,3,1,5,4,3,2,5,3,1,1,3,0,6,2,3,0,3,0,17,0,0,0,2,4,4,5,4,0,3,1,0,8,2,4,3,1,3,2,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1.5,1.0,0.0,0.0,1.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.167,0.0,0.833,0.167,0.625,0.542,0.083,0.083,0.75,0.292,0.083,0.083,0.083,0.417,0.417,0.167,0.625,0.292,0.167,0.25,0.5,-0.988,-0.763,-0.273,-0.083,0.188,20.83,29.17,50.0,31.82,40.91,27.27,20.83,54.17,1,0,4,3,2,2,1,5,5,3,2,5,3,1,0,3,2,6,3,5,1,3,0,16,0,0,0,2,5,3,5,3,1,3,1,0,8,2,4,4,0,2,2,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,1.67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.133,0.0,0.867,0.067,0.8,0.733,0.067,0.067,0.667,0.2,0.267,0.067,0.0,0.4,0.333,0.267,0.733,0.2,0.133,0.2,0.333,-1.546,-1.384,-0.881,-0.34,0.307,13.33,33.33,53.33,33.33,46.67,20.0,26.67,53.33,0,0,1,2,1,2,0,4,4,2,2,4,3,0,0,2,0,5,0,2,0,1,0,11,0,0,0,0,2,3,3,1,1,3,1,0,7,2,2,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.077,0.0,0.923,0.154,0.769,0.692,0.077,0.154,0.615,0.154,0.231,0.077,0.0,0.462,0.231,0.308,0.692,0.154,0.231,0.231,0.308,-1.918,-0.914,-0.496,-0.362,0.353,7.69,38.46,53.85,30.77,46.15,23.08,23.08,53.85,0,0,1,1,1,2,0,4,3,2,1,3,2,1,0,2,0,4,1,2,0,1,0,10,0,0,0,2,2,2,1,0,1,3,0,1,5,1,3,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.077,0.0,0.923,0.077,0.846,0.769,0.077,0.077,0.692,0.154,0.231,0.077,0.0,0.385,0.308,0.308,0.769,0.154,0.154,0.231,0.385,-1.892,-1.338,-0.665,-0.439,0.42,7.69,30.77,61.54,30.77,53.85,15.38,23.08,61.54,0,0,1,1,1,2,0,3,4,2,1,3,3,0,0,2,0,5,0,2,0,1,0,10,0,0,0,0,2,2,3,0,1,2,1,1,6,1,2,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.077,0.0,0.923,0.077,0.846,0.769,0.077,0.077,0.692,0.154,0.231,0.077,0.0,0.385,0.308,0.308,0.769,0.077,0.154,0.231,0.385,-1.797,-1.214,-0.742,-0.401,0.383,7.69,30.77,61.54,30.77,53.85,15.38,23.08,61.54,0,0,1,1,1,2,0,3,4,2,1,3,3,0,0,2,0,5,0,2,0,1,0,10,0,0,0,0,2,2,3,0,1,2,1,1,6,1,2,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.154,0.0,0.846,0.077,0.769,0.692,0.077,0.077,0.846,0.231,0.077,0.077,0.0,0.538,0.385,0.077,0.692,0.154,0.154,0.077,0.308,-2.044,-0.785,-1.118,-0.176,0.483,15.38,23.08,61.54,23.08,53.85,23.08,15.38,61.54,1,0,1,0,1,2,1,2,4,2,0,2,3,1,0,2,1,5,1,2,1,1,0,9,0,0,0,3,2,1,3,2,0,1,0,0,5,1,2,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.25,0.0,0.75,0.0,0.75,0.583,0.083,0.167,0.667,0.333,0.083,0.0,0.0,0.667,0.167,0.167,0.667,0.25,0.083,0.083,0.167,-1.779,-0.178,-0.968,0.194,0.419,25.0,16.67,58.33,16.67,41.67,41.67,8.33,50.0,1,0,2,0,0,2,2,2,2,2,0,1,1,2,1,2,2,3,2,2,1,2,0,6,0,0,0,5,1,1,1,0,1,2,0,0,4,2,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.118,0.0,0.882,0.294,0.588,0.471,0.059,0.118,0.824,0.176,0.176,0.176,0.118,0.471,0.412,0.118,0.647,0.176,0.235,0.353,0.588,-0.862,-0.961,0.065,-0.154,0.138,11.76,41.18,47.06,46.67,26.67,26.67,35.29,41.18,1,0,1,1,2,4,0,5,2,2,2,3,1,0,1,1,1,3,0,2,1,1,0,13,0,0,0,4,2,2,3,3,0,1,1,0,6,0,4,1,0,3,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.67,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.167,0.0,0.833,0.125,0.667,0.5,0.083,0.167,0.75,0.292,0.083,0.042,0.083,0.458,0.375,0.167,0.667,0.25,0.125,0.25,0.417,-1.103,-0.421,-0.122,0.082,0.099,20.83,29.17,50.0,31.82,31.82,36.36,20.83,45.83,1,0,4,3,2,2,1,5,5,3,2,4,1,2,1,3,3,3,4,6,1,3,0,16,0,0,0,5,3,3,3,4,1,3,1,0,10,2,3,4,0,1,2,0,0,1,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1.67,1.0,0.0,0.0,1.5,1.0,0.0,1.0,1.0,1.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.167,0.0,0.833,0.125,0.667,0.542,0.083,0.125,0.75,0.292,0.083,0.042,0.083,0.5,0.333,0.167,0.667,0.292,0.125,0.25,0.417,-1.156,-0.623,-0.186,0.009,0.18,20.83,29.17,50.0,31.82,36.36,31.82,20.83,50.0,1,0,4,3,2,2,1,5,5,3,2,5,1,2,0,4,2,4,4,6,1,3,0,16,0,0,0,5,3,4,4,3,0,3,1,0,10,2,3,4,0,1,2,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5,1.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.167,0.0,0.833,0.125,0.667,0.542,0.083,0.125,0.75,0.292,0.083,0.042,0.083,0.5,0.333,0.167,0.667,0.25,0.125,0.25,0.417,-1.105,-0.556,-0.228,0.03,0.16,20.83,29.17,50.0,31.82,36.36,31.82,20.83,50.0,1,0,4,3,2,2,1,5,5,3,2,5,1,2,0,4,2,4,4,6,1,3,0,16,0,0,0,5,3,4,4,3,0,3,1,0,10,2,3,4,0,1,2,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.4,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.167,0.0,0.833,0.083,0.708,0.625,0.083,0.083,0.75,0.292,0.042,0.0,0.083,0.542,0.292,0.167,0.708,0.25,0.083,0.292,0.417,-1.112,-0.715,-0.272,0.027,0.267,20.83,29.17,50.0,31.82,40.91,27.27,20.83,54.17,1,0,4,3,2,2,1,5,5,3,2,5,2,2,0,4,1,6,3,5,1,3,0,16,0,0,0,6,3,4,4,2,0,3,1,0,11,3,2,4,0,1,1,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1.5,1.0,0.0,0.0,1.0,1.0,0.0,1.67,1.0,1.4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.167,0.0,0.833,0.125,0.667,0.542,0.083,0.125,0.75,0.292,0.083,0.042,0.083,0.542,0.292,0.167,0.667,0.292,0.125,0.25,0.417,-1.173,-0.605,-0.177,0.014,0.204,20.83,29.17,50.0,31.82,36.36,31.82,20.83,50.0,1,0,4,3,2,2,1,5,5,3,2,5,1,2,0,4,2,4,4,6,1,3,0,16,0,0,0,6,3,4,4,2,0,3,1,0,10,2,3,4,0,1,2,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5,1.33,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.167,0.0,0.833,0.125,0.667,0.542,0.083,0.125,0.75,0.292,0.083,0.042,0.083,0.542,0.292,0.167,0.667,0.25,0.125,0.25,0.417,-1.121,-0.538,-0.219,0.035,0.184,20.83,29.17,50.0,31.82,36.36,31.82,20.83,50.0,1,0,4,3,2,2,1,5,5,3,2,5,1,2,0,4,2,4,4,6,1,3,0,16,0,0,0,6,3,4,4,2,0,3,1,0,10,2,3,4,0,1,2,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.33,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.125,0.0,0.875,0.125,0.708,0.625,0.083,0.083,0.75,0.25,0.083,0.0,0.083,0.542,0.292,0.167,0.708,0.25,0.083,0.292,0.417,-1.135,-0.731,-0.228,-0.091,0.282,20.83,29.17,50.0,31.82,45.45,22.73,20.83,58.33,1,0,4,3,2,2,1,5,5,4,1,5,3,2,0,3,1,8,2,4,1,2,0,18,0,0,0,6,3,4,4,2,0,3,1,0,11,3,2,4,0,1,1,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1.5,1.0,0.0,0.0,1.0,1.0,0.0,1.67,1.0,1.4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.083,0.0,0.917,0.208,0.667,0.583,0.083,0.125,0.75,0.208,0.125,0.083,0.083,0.417,0.375,0.208,0.667,0.208,0.208,0.292,0.458,-1.34,-0.793,-0.028,-0.229,0.157,12.5,37.5,50.0,36.36,40.91,22.73,25.0,54.17,0,0,3,2,4,3,1,5,5,4,1,5,2,2,0,3,1,6,2,4,0,2,0,19,0,0,0,4,2,4,4,3,1,2,3,0,10,2,3,3,0,2,1,2,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1.67,1.0,0.0,0.0,1.0,1.0,0.0,1.67,1.0,1.4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.154,0.846,0.615,0.077,0.231,0.769,0.077,0.231,0.154,0.0,0.462,0.231,0.308,0.769,0.077,0.231,0.308,0.385,-2.204,-0.687,0.064,-0.386,0.508,0.0,38.46,61.54,38.46,38.46,23.08,30.77,46.15,0,0,0,0,2,3,0,3,4,3,0,2,1,2,1,1,0,3,2,1,0,0,0,12,0,0,0,2,2,2,1,0,1,3,0,1,6,0,3,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.077,0.0,0.923,0.154,0.769,0.538,0.077,0.231,0.769,0.154,0.154,0.154,0.0,0.538,0.231,0.231,0.692,0.077,0.231,0.231,0.308,-2.091,-0.182,-0.233,-0.17,0.524,7.69,30.77,61.54,30.77,38.46,30.77,23.08,46.15,0,0,1,1,1,2,0,3,4,2,1,2,1,2,1,2,0,3,2,2,0,1,0,10,0,0,0,3,2,2,1,0,1,3,0,0,5,0,3,1,0,2,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.077,0.0,0.923,0.154,0.769,0.615,0.077,0.154,0.769,0.154,0.154,0.154,0.0,0.615,0.154,0.231,0.692,0.077,0.231,0.231,0.308,-2.095,-0.432,-0.429,-0.267,0.636,7.69,30.77,61.54,30.77,46.15,23.08,23.08,53.85,0,0,1,1,1,2,0,3,4,2,1,2,2,1,1,2,0,4,1,2,0,1,0,10,0,0,0,4,1,2,1,0,1,3,0,0,5,0,3,1,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.077,0.0,0.923,0.077,0.846,0.692,0.077,0.154,0.769,0.154,0.154,0.077,0.0,0.538,0.231,0.231,0.769,0.077,0.231,0.231,0.308,-2.172,-0.737,-0.218,-0.085,0.531,0.0,38.46,61.54,30.77,46.15,23.08,23.08,53.85,0,0,0,0,2,3,0,3,4,2,1,2,2,1,1,2,0,4,1,2,0,0,0,12,0,0,0,3,2,1,1,0,2,3,0,0,7,0,2,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.111,0.0,0.889,0.167,0.722,0.611,0.111,0.111,0.722,0.222,0.222,0.167,0.0,0.5,0.222,0.278,0.611,0.222,0.278,0.222,0.389,-1.607,-0.779,-0.427,-0.272,0.586,11.11,38.89,50.0,38.89,38.89,22.22,27.78,50.0,0,0,1,2,2,3,0,5,4,3,2,4,2,1,1,2,0,4,2,3,0,1,0,14,0,0,0,3,3,2,1,0,3,5,0,0,6,1,4,1,0,3,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.33,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.15,0.0,0.85,0.1,0.75,0.6,0.1,0.15,0.8,0.25,0.05,0.0,0.1,0.55,0.3,0.15,0.75,0.25,0.1,0.2,0.35,-1.884,-0.622,-0.21,0.05,0.228,15.0,20.0,65.0,22.22,44.44,33.33,10.0,60.0,1,0,2,1,1,2,1,3,8,2,1,3,4,1,0,2,3,8,2,3,1,2,0,14,0,0,0,4,4,3,4,1,0,3,0,0,11,1,2,2,0,1,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.67,1.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.15,0.0,0.85,0.1,0.75,0.6,0.1,0.15,0.8,0.25,0.05,0.0,0.1,0.6,0.25,0.15,0.75,0.25,0.1,0.2,0.3,-1.969,-0.555,-0.208,0.057,0.27,15.0,20.0,65.0,22.22,44.44,33.33,10.0,60.0,1,0,2,1,1,2,1,3,8,2,1,3,3,2,0,3,2,7,3,4,1,2,0,14,0,0,0,6,3,3,3,1,0,3,0,0,11,1,2,2,0,1,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.67,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.85,0.1,0.75,0.6,0.1,0.15,0.8,0.25,0.05,0.0,0.1,0.6,0.25,0.15,0.75,0.25,0.1,0.2,0.3,-1.969,-0.555,-0.208,0.057,0.27,15.0,20.0,65.0,22.22,44.44,33.33,10.0,60.0,1,0,2,1,1,2,1,3,8,2,1,3,4,1,0,2,3,8,2,3,1,2,0,14,0,0,0,6,3,3,3,1,0,3,0,0,11,1,2,2,0,1,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.67,1.0,0.0,0.0,1.67,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.85,0.1,0.75,0.6,0.1,0.15,0.8,0.25,0.05,0.0,0.1,0.6,0.25,0.15,0.75,0.25,0.1,0.2,0.3,-1.969,-0.555,-0.208,0.057,0.27,15.0,20.0,65.0,22.22,44.44,33.33,10.0,60.0,1,0,2,0,1,3,2,3,7,3,0,3,2,3,0,3,2,7,3,4,1,2,0,14,0,0,0,6,3,3,3,1,0,3,0,0,10,2,2,2,0,2,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.67,1.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.9,0.15,0.75,0.6,0.1,0.15,0.8,0.2,0.1,0.05,0.1,0.5,0.3,0.2,0.75,0.2,0.15,0.25,0.4,-1.88,-0.72,-0.028,-0.094,0.246,10.0,25.0,65.0,27.78,44.44,27.78,15.0,60.0,1,0,1,0,2,3,1,3,8,2,1,3,4,1,0,2,2,8,1,3,1,1,0,16,0,0,0,4,3,3,4,1,0,2,1,1,11,1,2,1,0,2,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.86,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.1,0.0,0.9,0.2,0.7,0.55,0.1,0.15,0.8,0.2,0.1,0.1,0.1,0.5,0.3,0.2,0.7,0.2,0.2,0.25,0.4,-1.862,-0.57,0.011,-0.122,0.298,10.0,25.0,65.0,27.78,44.44,27.78,15.0,60.0,1,0,1,0,2,3,1,3,8,2,1,3,4,1,0,2,2,8,1,3,1,1,0,16,0,0,0,4,3,3,4,1,0,2,1,1,9,1,3,1,0,3,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.86,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.1,0.0,0.9,0.25,0.65,0.5,0.1,0.15,0.75,0.2,0.15,0.15,0.1,0.45,0.3,0.25,0.65,0.2,0.25,0.3,0.45,-1.529,-0.559,0.144,-0.156,0.29,10.0,30.0,60.0,33.33,38.89,27.78,20.0,55.0,1,0,1,0,2,4,1,4,6,3,1,3,3,1,1,1,2,7,1,2,1,1,0,16,0,0,0,4,2,3,3,1,1,2,2,1,7,1,4,1,0,4,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.1,0.0,0.9,0.2,0.7,0.55,0.15,0.15,0.8,0.25,0.1,0.1,0.1,0.45,0.3,0.25,0.65,0.25,0.25,0.25,0.45,-1.731,-0.492,0.178,-0.051,0.356,10.0,30.0,60.0,33.33,38.89,27.78,15.0,60.0,1,0,1,0,3,3,1,3,7,2,1,3,3,1,0,2,2,8,1,3,1,1,0,16,0,0,0,3,3,3,4,1,0,2,1,2,8,1,3,1,0,3,0,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
