AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
0.0,8.33,0.0,0.0,8.33,33.33,0.0,8.33,8.33,8.33,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,8.33,8.33
0.0,15.38,0.0,0.0,7.69,30.77,7.69,0.0,7.69,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,7.69,7.69
0.0,15.38,0.0,0.0,7.69,30.77,7.69,7.69,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69
21.05,0.0,0.0,0.0,0.0,0.0,0.0,5.26,21.05,21.05,5.26,0.0,10.53,0.0,5.26,0.0,0.0,5.26,5.26,0.0
12.5,0.0,0.0,0.0,4.17,8.33,0.0,4.17,20.83,29.17,0.0,4.17,0.0,8.33,0.0,0.0,4.17,0.0,4.17,0.0
7.89,0.0,5.26,0.0,5.26,5.26,2.63,2.63,10.53,5.26,2.63,2.63,0.0,5.26,18.42,7.89,2.63,5.26,0.0,10.53
0.0,22.22,0.0,0.0,16.67,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,33.33,0.0,0.0,5.56,0.0,5.56
0.0,22.22,0.0,0.0,11.11,5.56,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,11.11,5.56,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,5.56,5.56,11.11
0.0,8.33,8.33,0.0,8.33,8.33,0.0,0.0,29.17,12.5,0.0,4.17,4.17,0.0,4.17,4.17,0.0,0.0,8.33,0.0
0.0,7.69,7.69,0.0,7.69,15.38,0.0,0.0,26.92,11.54,0.0,3.85,3.85,0.0,3.85,3.85,0.0,0.0,7.69,0.0
0.0,0.0,0.0,0.0,11.11,11.11,7.41,3.7,18.52,11.11,0.0,0.0,7.41,0.0,14.81,0.0,0.0,7.41,3.7,3.7
6.38,17.02,2.13,4.26,4.26,4.26,2.13,6.38,12.77,4.26,0.0,2.13,4.26,2.13,12.77,4.26,8.51,2.13,0.0,0.0
6.38,17.02,2.13,4.26,4.26,4.26,2.13,6.38,10.64,4.26,0.0,2.13,4.26,4.26,12.77,4.26,8.51,2.13,0.0,0.0
4.26,17.02,2.13,4.26,4.26,4.26,2.13,6.38,10.64,4.26,0.0,2.13,4.26,4.26,14.89,4.26,8.51,2.13,0.0,0.0
3.45,3.45,0.0,31.03,0.0,0.0,0.0,3.45,27.59,13.79,0.0,3.45,0.0,10.34,0.0,0.0,0.0,0.0,3.45,0.0
0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,29.41,0.0,0.0,5.88,5.88,5.88,0.0,0.0,0.0,5.88,35.29,5.88
4.76,9.52,0.0,0.0,0.0,4.76,0.0,0.0,28.57,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,9.52,14.29
14.29,0.0,0.0,0.0,0.0,0.0,0.0,21.43,35.71,14.29,0.0,7.14,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0
14.29,0.0,0.0,0.0,0.0,0.0,0.0,21.43,35.71,21.43,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,41.18,0.0,29.41,0.0,0.0,0.0,5.88,0.0
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,35.29,0.0,0.0,0.0,0.0,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,29.41,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,41.18,0.0,0.0,0.0,0.0,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,35.29,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,5.88,0.0
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,41.18,0.0,0.0,0.0,0.0,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,0.0,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,35.29,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,29.41,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,41.18,0.0,0.0,0.0,11.76,0.0
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,35.29,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,41.18,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,11.76,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,35.29,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,41.18,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,52.94,0.0,0.0,0.0,0.0,5.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,47.06,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,52.94,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,41.18,0.0,29.41,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,35.29,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,41.18,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,35.29,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,11.76,0.0
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,41.18,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,5.88,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,41.18,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,41.18,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,23.53,0.0,47.06,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,29.41,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,29.41,0.0,35.29,0.0,0.0,0.0,11.76,5.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,35.29,0.0,29.41,0.0,0.0,0.0,17.65,5.88
0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,41.18,0.0,0.0,0.0,17.65,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,23.53,0.0,41.18,0.0,0.0,0.0,17.65,5.88
0.0,22.22,0.0,0.0,5.56,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,27.78,5.56,0.0,5.56,0.0,11.11
0.0,22.22,0.0,0.0,5.56,11.11,0.0,5.56,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,5.56,11.11,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,27.78,11.11,0.0,5.56,5.56,5.56
0.0,22.22,0.0,0.0,11.11,5.56,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,5.56,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,5.56,5.56,0.0,5.56,11.11,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,5.56,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,22.22,5.56,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,5.56,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,22.22,5.56,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,5.56,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,22.22,5.56,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,5.56,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,11.11,16.67,0.0,5.56,5.56,11.11
0.0,22.22,0.0,0.0,0.0,11.11,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,27.78,11.11,0.0,5.56,5.56,5.56
0.0,16.67,0.0,0.0,8.33,0.0,0.0,8.33,0.0,16.67,0.0,0.0,0.0,8.33,16.67,16.67,0.0,8.33,0.0,0.0
16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.33,16.67,16.67,0.0
16.67,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.33,16.67,8.33,0.0
16.67,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.33,16.67,8.33,0.0
16.67,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,8.33,16.67,16.67,0.0
16.67,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,8.33,16.67,16.67,0.0
16.67,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.33,8.33,16.67,0.0
16.67,0.0,0.0,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.33,16.67,16.67,0.0
16.67,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,8.33,16.67,16.67,0.0
8.33,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.33,16.67,16.67,0.0
12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,6.25,0.0,0.0,25.0,0.0,6.25,12.5,12.5,0.0
11.11,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,5.56,22.22,0.0,22.22,11.11,0.0,0.0,0.0,22.22
0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,4.35,0.0,4.35,30.43,0.0,26.09,4.35,0.0,8.7,0.0,17.39
3.23,0.0,3.23,3.23,12.9,3.23,6.45,0.0,0.0,6.45,0.0,0.0,32.26,0.0,19.35,0.0,0.0,0.0,0.0,9.68
14.29,17.14,2.86,2.86,0.0,11.43,0.0,2.86,11.43,8.57,5.71,2.86,2.86,5.71,0.0,2.86,5.71,2.86,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,23.08,7.69,0.0,0.0,23.08,0.0,0.0,0.0,0.0,0.0,38.46,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,7.69,0.0,0.0,23.08,0.0,15.38,0.0,0.0,0.0,38.46,0.0
15.38,0.0,0.0,0.0,15.38,0.0,0.0,0.0,30.77,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,23.08,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,30.77,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,23.08,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,30.77,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,23.08,0.0
0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,30.77,7.69,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,23.08,0.0
15.38,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,30.77,0.0,0.0,7.69,23.08,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,30.77,0.0,0.0,7.69,23.08,0.0
23.08,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,0.0,0.0
15.38,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,7.69,0.0
15.38,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,7.69,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,15.38,0.0
0.0,0.0,0.0,0.0,38.46,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,0.0,0.0
15.38,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,7.69,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,15.38,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,15.38,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,30.77,0.0,0.0,7.69,23.08,0.0
0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,15.38,7.69
0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,7.69,15.38
0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,15.38,7.69
0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,7.69,15.38
0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,7.69,15.38
0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,30.77,0.0,0.0,7.69,0.0,23.08
4.76,0.0,0.0,0.0,9.52,23.81,0.0,9.52,4.76,0.0,19.05,0.0,0.0,4.76,4.76,4.76,14.29,0.0,0.0,0.0
10.81,0.0,2.7,2.7,2.7,13.51,0.0,10.81,18.92,8.11,0.0,2.7,2.7,2.7,8.11,2.7,0.0,8.11,2.7,0.0
25.0,0.0,2.5,2.5,2.5,7.5,0.0,7.5,12.5,5.0,0.0,2.5,0.0,10.0,5.0,0.0,10.0,7.5,0.0,0.0
25.0,0.0,5.0,2.5,2.5,7.5,0.0,5.0,12.5,7.5,0.0,2.5,0.0,7.5,2.5,2.5,10.0,7.5,0.0,0.0
15.38,0.0,5.13,5.13,2.56,10.26,0.0,12.82,5.13,5.13,0.0,5.13,0.0,7.69,10.26,0.0,10.26,2.56,2.56,0.0
8.06,0.0,1.61,0.0,8.06,17.74,3.23,1.61,0.0,3.23,1.61,11.29,6.45,11.29,6.45,8.06,3.23,3.23,1.61,3.23
6.67,20.0,0.0,3.33,6.67,10.0,0.0,6.67,10.0,0.0,0.0,3.33,6.67,0.0,0.0,10.0,3.33,6.67,0.0,6.67
6.67,20.0,3.33,3.33,0.0,6.67,0.0,6.67,3.33,6.67,0.0,3.33,6.67,0.0,0.0,10.0,6.67,10.0,0.0,6.67
0.0,20.0,0.0,3.33,3.33,6.67,6.67,3.33,3.33,0.0,0.0,6.67,6.67,6.67,3.33,6.67,16.67,3.33,3.33,0.0
0.0,20.0,3.33,3.33,3.33,10.0,0.0,10.0,3.33,0.0,0.0,10.0,6.67,0.0,3.33,6.67,3.33,10.0,0.0,6.67
6.67,20.0,3.33,3.33,0.0,3.33,0.0,6.67,3.33,6.67,0.0,3.33,6.67,0.0,0.0,13.33,6.67,10.0,3.33,3.33
14.29,0.0,0.0,0.0,7.14,7.14,3.57,7.14,14.29,14.29,3.57,3.57,7.14,3.57,0.0,0.0,7.14,7.14,0.0,0.0
19.23,0.0,3.85,0.0,0.0,15.38,0.0,3.85,19.23,19.23,3.85,0.0,0.0,0.0,0.0,0.0,3.85,7.69,3.85,0.0
5.0,0.0,5.0,0.0,10.0,5.0,10.0,30.0,5.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,18.18,9.09,9.09,0.0,0.0,0.0,36.36,0.0,0.0,0.0,0.0,9.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,27.27,9.09,9.09,0.0,9.09,0.0,18.18,0.0,0.0,9.09,0.0,9.09
4.76,0.0,0.0,0.0,4.76,19.05,0.0,14.29,23.81,19.05,0.0,4.76,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0
5.56,0.0,0.0,0.0,5.56,16.67,0.0,11.11,22.22,22.22,0.0,5.56,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,25.0,0.0,0.0,16.67,0.0,8.33,0.0,0.0,16.67,0.0,16.67,8.33,0.0,8.33,0.0,0.0
7.14,7.14,3.57,0.0,3.57,7.14,0.0,7.14,14.29,7.14,0.0,7.14,0.0,0.0,0.0,10.71,14.29,7.14,3.57,0.0
7.5,2.5,2.5,2.5,5.0,7.5,0.0,2.5,17.5,10.0,2.5,7.5,5.0,5.0,0.0,12.5,0.0,5.0,2.5,2.5
9.52,9.52,0.0,0.0,9.52,4.76,0.0,4.76,14.29,19.05,0.0,0.0,4.76,0.0,4.76,0.0,9.52,9.52,0.0,0.0
9.52,9.52,0.0,0.0,9.52,4.76,0.0,4.76,14.29,19.05,0.0,0.0,4.76,0.0,4.76,0.0,9.52,9.52,0.0,0.0
9.52,9.52,0.0,0.0,9.52,4.76,0.0,4.76,14.29,19.05,0.0,0.0,0.0,0.0,4.76,0.0,9.52,9.52,0.0,4.76
22.22,5.56,0.0,0.0,5.56,5.56,5.56,0.0,11.11,0.0,5.56,5.56,0.0,11.11,0.0,0.0,11.11,11.11,0.0,0.0
38.89,5.56,0.0,0.0,5.56,5.56,0.0,0.0,22.22,16.67,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0
16.67,5.56,0.0,0.0,5.56,5.56,5.56,0.0,11.11,11.11,5.56,0.0,0.0,11.11,0.0,0.0,11.11,11.11,0.0,0.0
38.89,5.56,0.0,0.0,0.0,11.11,0.0,27.78,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.89,5.56,0.0,0.0,0.0,11.11,0.0,0.0,16.67,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,0.0,0.0,0.0,12.5,18.75,0.0,12.5,6.25,25.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.11,0.0,0.0,0.0,11.11,11.11,0.0,11.11,11.11,27.78,0.0,0.0,5.56,0.0,0.0,0.0,11.11,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,75.0,0.0,0.0,0.0,15.0,5.0
0.0,0.0,0.0,0.0,9.38,0.0,0.0,12.5,3.12,3.12,0.0,0.0,31.25,3.12,18.75,6.25,0.0,0.0,12.5,0.0
0.0,0.0,3.12,0.0,9.38,3.12,0.0,9.38,3.12,6.25,0.0,3.12,31.25,0.0,25.0,0.0,0.0,0.0,6.25,0.0
3.23,0.0,0.0,0.0,16.13,3.23,3.23,9.68,3.23,0.0,0.0,0.0,29.03,6.45,16.13,0.0,3.23,0.0,6.45,0.0
0.0,0.0,0.0,0.0,9.38,3.12,0.0,9.38,3.12,3.12,0.0,0.0,34.38,0.0,34.38,0.0,0.0,0.0,3.12,0.0
0.0,0.0,0.0,0.0,6.25,3.12,0.0,12.5,3.12,3.12,0.0,0.0,34.38,0.0,34.38,0.0,0.0,0.0,3.12,0.0
14.71,2.94,0.0,2.94,2.94,20.59,0.0,14.71,14.71,11.76,0.0,0.0,0.0,2.94,0.0,5.88,0.0,0.0,2.94,2.94
0.0,0.0,0.0,0.0,0.0,0.0,15.38,0.0,7.69,0.0,0.0,0.0,0.0,0.0,23.08,0.0,0.0,15.38,38.46,0.0
0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,15.38,0.0,0.0,0.0,0.0,15.38,0.0,0.0,15.38,30.77,0.0
0.0,0.0,0.0,0.0,7.69,7.69,7.69,0.0,23.08,7.69,0.0,7.69,0.0,0.0,7.69,15.38,0.0,0.0,15.38,0.0
14.29,7.14,0.0,7.14,0.0,7.14,0.0,14.29,7.14,14.29,0.0,7.14,0.0,7.14,0.0,14.29,0.0,0.0,0.0,0.0
20.0,6.67,0.0,6.67,0.0,6.67,0.0,13.33,13.33,6.67,0.0,0.0,6.67,6.67,0.0,13.33,0.0,0.0,0.0,0.0
13.33,6.67,0.0,6.67,0.0,6.67,0.0,13.33,13.33,13.33,0.0,0.0,6.67,6.67,0.0,13.33,0.0,0.0,0.0,0.0
16.67,0.0,8.33,0.0,0.0,8.33,0.0,16.67,8.33,8.33,0.0,8.33,8.33,8.33,0.0,8.33,0.0,0.0,0.0,0.0
15.38,0.0,0.0,7.69,0.0,15.38,0.0,15.38,7.69,15.38,0.0,7.69,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0
15.38,0.0,0.0,7.69,0.0,7.69,0.0,15.38,7.69,15.38,0.0,7.69,7.69,7.69,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.38,15.38,0.0,23.08,0.0,15.38,0.0,7.69,7.69,0.0,7.69,0.0,0.0,7.69,0.0,0.0
0.0,0.0,6.67,0.0,6.67,6.67,6.67,13.33,6.67,13.33,0.0,13.33,0.0,0.0,6.67,0.0,0.0,6.67,0.0,13.33
32.14,0.0,0.0,0.0,0.0,3.57,0.0,0.0,14.29,21.43,3.57,7.14,0.0,0.0,0.0,0.0,3.57,10.71,3.57,0.0
12.5,8.33,0.0,0.0,16.67,4.17,0.0,12.5,8.33,12.5,0.0,0.0,8.33,0.0,8.33,4.17,4.17,0.0,0.0,0.0
2.22,13.33,0.0,4.44,0.0,11.11,0.0,6.67,13.33,6.67,0.0,2.22,2.22,4.44,15.56,4.44,4.44,4.44,0.0,4.44
6.06,6.06,3.03,3.03,3.03,21.21,0.0,0.0,15.15,18.18,0.0,3.03,0.0,3.03,0.0,6.06,0.0,12.12,0.0,0.0
9.68,6.45,6.45,3.23,3.23,16.13,0.0,3.23,19.35,19.35,0.0,0.0,3.23,0.0,0.0,0.0,6.45,3.23,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.0,0.0,16.67,8.33,41.67,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0
0.0,6.67,0.0,0.0,0.0,0.0,0.0,53.33,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.69,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,0.0,0.0,0.0
0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,46.15,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,0.0,0.0,46.15,0.0,0.0,0.0,0.0,0.0
11.76,0.0,5.88,0.0,11.76,0.0,0.0,5.88,35.29,11.76,0.0,0.0,0.0,0.0,5.88,0.0,0.0,11.76,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
5.56,0.0,0.0,0.0,11.11,5.56,0.0,5.56,11.11,33.33,0.0,0.0,11.11,0.0,0.0,11.11,5.56,0.0,0.0,0.0
3.85,7.69,6.41,5.13,2.56,5.13,0.0,11.54,12.82,7.69,2.56,1.28,3.85,6.41,6.41,5.13,3.85,5.13,1.28,1.28
13.16,0.0,5.26,0.0,2.63,13.16,0.0,10.53,5.26,7.89,2.63,0.0,5.26,5.26,18.42,0.0,0.0,7.89,2.63,0.0
12.9,0.0,0.0,6.45,0.0,9.68,0.0,12.9,16.13,6.45,0.0,3.23,3.23,3.23,6.45,12.9,3.23,0.0,3.23,0.0
